"sensor_id";"Year";"Aantal";"longitude";"latitude";"point"
1074;2018;808300;"53.200509";"5.794506";"POINT( 5.794506 53.200509 )"
1074;2017;2674839;"53.200509";"5.794506";"POINT( 5.794506 53.200509 )"
1074;2016;2571586;"53.200509";"5.794506";"POINT( 5.794506 53.200509 )"
1078;2018;537790;"53.200826";"5.793081";"POINT( 5.793081 53.200826 )"
1078;2017;1755846;"53.200826";"5.793081";"POINT( 5.793081 53.200826 )"
1078;2016;1831751;"53.200826";"5.793081";"POINT( 5.793081 53.200826 )"
1079;2018;298960;"53.200347";"5.797128";"POINT( 5.797128 53.200347 )"
1079;2017;941390;"53.200347";"5.797128";"POINT( 5.797128 53.200347 )"
1079;2016;1032799;"53.200347";"5.797128";"POINT( 5.797128 53.200347 )"
1625;2018;754861;"53.199183";"5.792219";"POINT( 5.792219 53.199183 )"
1625;2017;2333166;"53.199183";"5.792219";"POINT( 5.792219 53.199183 )"
1625;2016;1515653;"53.199183";"5.792219";"POINT( 5.792219 53.199183 )"
1627;2018;421094;"53.200104";"5.793139";"POINT( 5.793139 53.200104 )"
1627;2017;1329292;"53.200104";"5.793139";"POINT( 5.793139 53.200104 )"
1627;2016;1011630;"53.200104";"5.793139";"POINT( 5.793139 53.200104 )"
1631;2018;215102;"53.202216";"5.791639";"POINT( 5.791639 53.202216 )"
1631;2017;690424;"53.202216";"5.791639";"POINT( 5.791639 53.202216 )"
1631;2016;511250;"53.202216";"5.791639";"POINT( 5.791639 53.202216 )"
1636;2018;233581;"53.201777";"5.796556";"POINT( 5.796556 53.201777 )"
1636;2017;763038;"53.201777";"5.796556";"POINT( 5.796556 53.201777 )"
1636;2016;603418;"53.201777";"5.796556";"POINT( 5.796556 53.201777 )"
2054;2018;281948;"53.199645";"5.795879";"POINT( 5.795879 53.199645 )"
2054;2017;1056351;"53.199645";"5.795879";"POINT( 5.795879 53.199645 )"
2054;2016;695005;"53.199645";"5.795879";"POINT( 5.795879 53.199645 )"
2779;2018;411134;"53.202032";"5.799048";"POINT( 5.799048 53.202032 )"
2779;2017;1253499;"53.202032";"5.799048";"POINT( 5.799048 53.202032 )"
2779;2016;31;"53.202032";"5.799048";"POINT( 5.799048 53.202032 )"
